,Unnamed: 0,Bat1,Runs,BF,SR,4s,6s,Opposition,Ground,Start Date,Match_ID,Batsman,Player_ID
5,6,0*,0,8,0.00,0,0,v India,Dhaka,10 Jan 2010,ODI # 2941,Oshane Thomas,49619
6,7,0*,0,0,,0,0,v England,The Oval,28 Jun 2011,ODI # 3165,Oshane Thomas,49619
9,10,1*,1,3,33.33,0,0,v England,Nottingham,6 Jul 2011,ODI # 3169,Oshane Thomas,49619
10,11,0*,0,2,0.00,0,0,v Australia,Pallekele,10 Aug 2011,ODI # 3175,Oshane Thomas,49619
11,12,0,0,2,0.00,0,0,v Pakistan,Dubai (DSC),11 Nov 2011,ODI # 3212,Oshane Thomas,49619
12,13,0*,0,0,,0,0,v India,Dhaka,13 Mar 2012,ODI # 3259,Oshane Thomas,49619
13,14,0,0,4,0.00,0,0,v Pakistan,Dhaka,15 Mar 2012,ODI # 3260,Oshane Thomas,49619
14,15,0,0,1,0.00,0,0,v Bangladesh,Dhaka,20 Mar 2012,ODI # 3265,Oshane Thomas,49619
15,16,1,1,5,20.00,0,0,v India,Port of Spain,11 Jul 2013,ODI # 3388,Oshane Thomas,49619
17,18,1*,1,1,100.00,0,0,v Pakistan,Sharjah,18 Dec 2013,ODI # 3445,Oshane Thomas,49619
18,19,2*,2,11,18.18,0,0,v Pakistan,Abu Dhabi,25 Dec 2013,ODI # 3448,Oshane Thomas,49619
26,27,4*,4,5,80.00,0,0,v England,The Oval,22 May 2014,ODI # 3492,Oshane Thomas,49619
29,30,0,0,3,0.00,0,0,v New Zealand,Dunedin,23 Jan 2015,ODI # 3588,Oshane Thomas,49619
30,31,3,3,5,60.00,0,0,v New Zealand,Dunedin,25 Jan 2015,ODI # 3590,Oshane Thomas,49619
31,32,7*,7,17,41.17,0,0,v New Zealand,Christchurch,14 Feb 2015,ODI # 3599,Oshane Thomas,49619
36,37,1*,1,3,33.33,0,0,v Pakistan,Colombo (RPS),22 Jul 2015,ODI # 3671,Oshane Thomas,49619
38,39,1*,1,4,25.00,0,0,v West Indies,Colombo (RPS),1 Nov 2015,ODI # 3701,Oshane Thomas,49619
